"avg_rating","creator","downloads","identifier","publisher","subject","title","year"
"","The Church Weekly","29","1957-TCW-Vol11-Issue16","","","1957 The Church Weekly Volume 11 Issue 16","1957"
"","The Church Weekly","19","1962-TCW-Vol17-Issue9","","","1962 The Church Weekly Volume 17 Issue 9","1962"
"","The Church Weekly","16","1967-TCW-Vol21-Issue33","","","1967 The Church Weekly Volume 21 Issue 33","1967"
"","Kerala Sasthra Sahithya Parishad","97","1970jansasthrake0000kssp","Kerala Sasthra Sahithya Parishad","Sasthra Keralam Magazine, KSSP Science Magazine","ശാസ്ത്രകേരളം - സയൻസു മാസിക - 1970 ജനുവരി","1970"
"","Malankara Orthodox Syrian Church","48","1970malankarasab0000mala_q3n0","Malankara Sabha Magazine","Malankara Sabha Magazine","മലങ്കര സഭ - 1970 നവംബർ - പുസ്തകം 24 ലക്കം 21, 22","1970"
"","Kerala Sasthra Sahithya Parishad","124","1971febeureka0000kssp","Kerala Sasthra Sahithya Parishad","Eureka Magazine","യുറീക്ക - കുട്ടികളുടെ ശാസ്ത്രമാസിക - 1971 ഫെബ്രുവരി","1971"
"","State Institute of Education, Kerala","107","1971parikshanasa0000unse","State Institute of Education, Kerala","Kerala Science Text Books","1971 - പരീക്ഷണശാലയിൽ","1971"
"","","17","12th-biffes-schedule-v-02","","BIFFES,Movies,International Film Festivals","12th Bengaluru International Film Festival Schedule V 02",""
"","Kerala Sasthra Sahithya Parishad","41","1989parishathums0000kssp_z0l1","Kerala Sasthra Sahithya Parishad","KSSP leaflets,KSSP Gender Books","1989 - പരിഷത്തും സ്ത്രീപ്രശ്നവും","1989"
"","Kerala Sasthra Sahithya Parishad","50","1995bodhanamadhy0000kssp","Kerala Sasthra Sahithya Parishad","KSSP leaflets,Kerala Public Education,KSSP Education Books,Vidyabhyasa Jadha-95","1995 - ബോധന മാധ്യമം മാതൃഭാഷയിൽ","1995"
"","Kerala Sasthra Sahithya Parishad","60","1995bhashasamska0000kssp","Kerala Sasthra Sahithya Parishad","KSSP leaflets,Kerala Public Education,KSSP Education Books","1995 - ജനകീയ വിദ്യാഭ്യാസ നിഷേധം കേരളത്തിൽ","1995"
"","ಚ. ವಾಸುದೇವಯ್ಯ","486","Kannada-balabodhe-cha-vasudevayya","ಕಾವ್ಯಾಲಯ","ಕನ್ನಡ ವ್ಯಾಕರಣ, ಕನ್ನಡ ಸಾಹಿತ್ಯ, ಮಕ್ಕಳ ಸಾಹಿತ್ಯ","ಕನ್ನಡ ಬಾಲಬೋಧೆ",""
"","B.S. Madhava Rao","29","thesiscontributi0000bsma","","B. S. Madhava Rao Collection","B. S. Madhava Rao - Thesis, Contributions To Born's Field Theory. 1",""
"","ଜଗନ୍ନାଥ ଦେବବର୍ମା,Jagannatha Debaburma,Jagannath Debabarma","4","sati-parbati-1942","","କବିତା,poetry","ସତୀ ପାର୍ବତୀ","1942"
"","Tomasine Cardose","19","tiyatra0000toma","Prabhakar Tendulkar","","Tiyatra","1992"
"","EDWIN J.F.DSOUZA","5","thakaamifaxidivy0000edwi","","","THAKA AMI FAXI DIVYAM",""
"","ପ୍ରମଥ ନାଥ ଦାଶ,Pramatha Natha Das,Pramatha Nath Das","2","swarnnalekha-1946","","ଉପନ୍ୟାସ,novel","ସ୍ୱର୍ଣ୍ଣଲେଖା","1946"
"","","7","sweekar0000unse","","","SWEEKAR",""
"","ବୀରବିକ୍ରମ ଦେବ,Birabikrama Deba,Birabikram Deb","3","suhasini-prahasana-1903","","ନାଟକ,drama","ସୁହାସିନୀ ପ୍ରହସନ","1903"
